0	0	4.25642e+09
1	0.00050025	172874
2	0.0010005	234417
3	0.00150075	232405
4	0.002001	215600
5	0.00250125	130690
6	0.0030015	137964
7	0.00350175	111350
8	0.004002	92650
9	0.00450225	63622.8
10	0.0050025	60429.3
11	0.00550275	63814.8
12	0.006003	52036
13	0.00650325	57548.2
14	0.0070035	50297.5
15	0.00750375	50469.1
16	0.008004	53718.7
17	0.00850425	51082.1
18	0.0090045	54572
19	0.00950475	59376.6
20	0.010005	57977.8
21	0.0105053	51843.5
22	0.0110055	63717.1
23	0.0115058	61051.9
24	0.012006	68050.4
25	0.0125063	69503.7
26	0.0130065	69646.1
27	0.0135068	79821.4
28	0.014007	81986.7
29	0.0145073	73534.2
30	0.0150075	80744.9
31	0.0155078	68597.5
32	0.016008	75855.5
33	0.0165083	70230.3
34	0.0170085	77232.4
35	0.0175088	75533.9
36	0.018009	75780.7
37	0.0185093	76809.5
38	0.0190095	66899.6
39	0.0195098	71618.3
40	0.02001	70559.4
41	0.0205103	64827.2
42	0.0210105	68023.7
43	0.0215108	64394.2
44	0.022011	64396.3
45	0.0225113	58660.4
46	0.0230115	59096.7
47	0.0235118	56584.9
48	0.024012	57143.9
49	0.0245123	55399.4
50	0.0250125	57041.2
51	0.0255128	51794.2
52	0.026013	47731.8
53	0.0265133	48798.1
54	0.0270135	44363.1
55	0.0275138	44145.3
56	0.028014	41021.3
57	0.0285143	40050.1
58	0.0290145	37150.2
59	0.0295148	34046.9
60	0.030015	36239.4
61	0.0305153	31821.9
62	0.0310155	31088.7
63	0.0315158	28135.7
64	0.032016	25938.9
65	0.0325163	24086.1
66	0.0330165	22378.9
67	0.0335168	21967.5
68	0.034017	21540
69	0.0345173	20839.4
70	0.0350175	20644.2
71	0.0355178	22527.2
72	0.036018	21791
73	0.0365183	22511.1
74	0.0370185	24569.8
75	0.0375188	25985.5
76	0.038019	25954.9
77	0.0385193	26789.3
78	0.0390195	29104
79	0.0395198	28938
80	0.04002	28857
81	0.0405203	28545.5
82	0.0410205	31013.8
83	0.0415208	31178.5
84	0.042021	30226
85	0.0425213	29314.4
86	0.0430215	29380.9
87	0.0435218	27232.5
88	0.044022	28860.1
89	0.0445223	28033.2
90	0.0450225	26244.1
91	0.0455228	25566.5
92	0.046023	25117.2
93	0.0465233	22990.3
94	0.0470235	20781.1
95	0.0475238	21579.1
96	0.048024	21145.5
97	0.0485243	19736.9
98	0.0490245	20647.6
99	0.0495248	19680.2
100	0.050025	21647
101	0.0505253	21252.9
102	0.0510255	21252.6
103	0.0515258	23975.2
104	0.052026	23131.7
105	0.0525263	24709.9
106	0.0530265	23853.9
107	0.0535268	24351.2
108	0.054027	25680.4
109	0.0545273	24462.4
110	0.0550275	25181.5
111	0.0555278	25272.9
112	0.056028	24246.9
113	0.0565283	22417.3
114	0.0570285	22684
115	0.0575288	22493.7
116	0.058029	21377.8
117	0.0585293	22330.9
118	0.0590295	21120.4
119	0.0595298	19478.2
120	0.06003	20521.4
121	0.0605303	19416.2
122	0.0610305	20226.1
123	0.0615308	21371.3
124	0.062031	20462.7
125	0.0625313	20808.8
126	0.0630315	22358.4
127	0.0635318	20682.4
128	0.064032	22300
129	0.0645323	22555.6
130	0.0650325	22141
131	0.0655328	22715.5
132	0.066033	22026.1
133	0.0665333	21097.5
134	0.0670335	21077.6
135	0.0675338	19549.3
136	0.068034	19266.9
137	0.0685343	19314
138	0.0690345	19716.5
139	0.0695348	19423.7
140	0.070035	18853.9
141	0.0705353	20126.9
142	0.0710355	19517.4
143	0.0715358	18946.9
144	0.072036	20754.1
145	0.0725363	20794.6
146	0.0730365	20944.7
147	0.0735368	21456.3
148	0.074037	20408.1
149	0.0745373	21106.7
150	0.0750375	20900.2
151	0.0755378	20297.8
152	0.076038	20050.1
153	0.0765383	18933.8
154	0.0770385	19235.4
155	0.0775388	18955.9
156	0.078039	18779.3
157	0.0785393	19191.8
158	0.0790395	20380.3
159	0.0795398	19508.7
160	0.08004	20602.9
161	0.0805403	19885
162	0.0810405	20186.9
163	0.0815408	19119
164	0.082041	20240
165	0.0825413	19566.8
166	0.0830415	20212
167	0.0835418	18712.4
168	0.084042	19720.9
169	0.0845423	18836.6
170	0.0850425	18714.4
171	0.0855428	18316.5
172	0.086043	18988.2
173	0.0865433	18537.9
174	0.0870435	18890.3
175	0.0875438	20094
176	0.088044	19511.5
177	0.0885443	18854.2
178	0.0890445	19666.2
179	0.0895448	19873.7
180	0.090045	19325
181	0.0905453	18206.2
182	0.0910455	18781.2
183	0.0915458	18535.3
184	0.092046	18409.7
185	0.0925463	19385.2
186	0.0930465	19194.1
187	0.0935468	19407.9
188	0.094047	18471.8
189	0.0945473	19267.4
190	0.0950475	19202.5
191	0.0955478	19974.1
192	0.096048	19103.9
193	0.0965483	18391.2
194	0.0970485	18230.5
195	0.0975488	18431.8
196	0.098049	17771.3
197	0.0985493	18415.4
198	0.0990495	18443.6
199	0.0995498	19174.7
200	0.10005	18392.7
201	0.10055	18462.5
202	0.101051	18082.3
203	0.101551	18294.5
204	0.102051	18848.7
205	0.102551	18700.2
206	0.103052	19261
207	0.103552	18135.5
208	0.104052	18445.9
209	0.104552	17209.5
210	0.105053	18002.6
211	0.105553	18011.3
212	0.106053	17381.3
213	0.106553	17899.7
214	0.107054	18007.9
215	0.107554	18376.5
216	0.108054	18406.5
217	0.108554	18535.2
218	0.109055	17442.2
219	0.109555	17874.5
220	0.110055	17390.1
221	0.110555	17489.9
222	0.111056	17584.9
223	0.111556	18538.4
224	0.112056	18150.4
